"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 11:56:13:337 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20"
"visualization","color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,,"color-agents-by-metabolism",,
"initial-population","50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"[reporter]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"[final]","30","3.7","2.2666666666666666","37","3.3783783783783785","1.945945945945946","36","3.5555555555555554","1.9444444444444444","36","3.888888888888889","2.2222222222222223","33","3.8181818181818183","1.878787878787879","32","3.9375","2.0625","32","3.84375","1.9375","31","3.5161290322580645","2","33","3.757575757575758","2.3333333333333335","34","3.8823529411764706","2.0588235294117645","73","3.8493150684931505","2.232876712328767","67","3.9402985074626864","1.8955223880597014","62","3.6451612903225805","1.9516129032258065","68","3.485294117647059","2.073529411764706","63","3.7142857142857144","2.2222222222222223","63","3.634920634920635","2.0634920634920637","60","4.483333333333333","2.35","60","3.5","1.7833333333333334","66","4.015151515151516","2.1666666666666665","73","3.835616438356164","1.9589041095890412"
"[min]","30","3.3541666666666665","2.2666666666666666","37","3.261904761904762","1.945945945945946","36","3.26","1.925","36","3.66","2.2162162162162162","33","3.4583333333333335","1.878787878787879","32","3.6","2.0625","32","3.5434782608695654","1.9375","31","3.24","2","33","3.5675675675675675","2.3333333333333335","34","3.64","2.0588235294117645","73","3.63","2.232876712328767","67","3.63","1.8955223880597014","62","3.46","1.9516129032258065","68","3.3","2.073529411764706","63","3.31","2.2222222222222223","63","3.292929292929293","2.046875","60","3.88","2.35","60","3.34","1.7833333333333334","66","3.69","2.1666666666666665","73","3.510204081632653","1.9589041095890412"
"[max]","50","3.7","2.68","50","3.4285714285714284","2.306122448979592","50","3.5555555555555554","2.22","50","3.9","2.58","50","3.8181818181818183","2.32","50","3.9375","2.44","50","3.84375","2.48","50","3.5161290322580645","2.58","50","3.757575757575758","2.7","50","3.8823529411764706","2.52","100","3.88","2.58","100","3.9402985074626864","2.38","100","3.671875","2.38","100","3.486111111111111","2.51","100","3.7142857142857144","2.69","100","3.640625","2.43","100","4.483333333333333","2.75","100","3.5176470588235293","2.46","100","4.084507042253521","2.56","100","3.835616438356164","2.29"
"[mean]","32.56435643564357","3.643514535026623","2.327120480363812","38.554455445544555","3.3691357281098586","1.9937656218068591","38.0990099009901","3.4952218780699336","1.9802245543389922","37.46534653465346","3.8695790442632476","2.254611093274491","35.31683168316832","3.7554468758935236","1.9450333693507684","33.75247524752475","3.898778620501069","2.094867173066324","33.881188118811885","3.8049696069641046","1.9939346773829958","33.445544554455445","3.4757268805536845","2.07822109983532","34.78217821782178","3.735231585017108","2.3685572054308923","35.59405940594059","3.85572441392441","2.103921906130806","75.68316831683168","3.8279380168053336","2.270303066392266","70.91089108910892","3.9038686145864325","1.9477293276687713","67.01980198019803","3.6251607122268577","2.0030564224213876","71.54455445544555","3.459727578334282","2.1226551069400825","67.26732673267327","3.6782675423851208","2.2790479447333896","67","3.5924622433107594","2.0995621280025802","63.71287128712871","4.412959208795393","2.3979340681161463","63.81188118811881","3.4822136156404246","1.8537128234157143","69.93069306930693","3.997372656944798","2.2171927633438795","76.06930693069307","3.79039192090846","1.99602711702742"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

