"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 11:56:07:966 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"3","color-agents-by-metabolism","50","0","50","3.26","2.22"
"1","color-agents-by-metabolism","50","0","50","3.4","2.68"
"2","color-agents-by-metabolism","50","0","50","3.38","2.3"
"8","color-agents-by-metabolism","50","0","50","3.24","2.58"
"5","color-agents-by-metabolism","50","0","50","3.48","2.32"
"4","color-agents-by-metabolism","50","0","50","3.66","2.58"
"1","color-agents-by-metabolism","50","1","50","3.4","2.68"
"3","color-agents-by-metabolism","50","1","50","3.26","2.22"
"6","color-agents-by-metabolism","50","0","50","3.6","2.44"
"8","color-agents-by-metabolism","50","1","50","3.24","2.58"
"1","color-agents-by-metabolism","50","2","50","3.4","2.68"
"3","color-agents-by-metabolism","50","2","50","3.26","2.22"
"8","color-agents-by-metabolism","50","2","50","3.24","2.58"
"1","color-agents-by-metabolism","50","3","48","3.3541666666666665","2.6666666666666665"
"3","color-agents-by-metabolism","50","3","50","3.26","2.22"
"1","color-agents-by-metabolism","50","4","48","3.3541666666666665","2.6666666666666665"
"8","color-agents-by-metabolism","50","3","50","3.24","2.58"
"3","color-agents-by-metabolism","50","4","50","3.26","2.22"
"1","color-agents-by-metabolism","50","5","46","3.4130434782608696","2.630434782608696"
"8","color-agents-by-metabolism","50","4","50","3.24","2.58"
"3","color-agents-by-metabolism","50","5","49","3.2653061224489797","2.183673469387755"
"8","color-agents-by-metabolism","50","5","50","3.24","2.58"
"1","color-agents-by-metabolism","50","6","45","3.466666666666667","2.6222222222222222"
"3","color-agents-by-metabolism","50","6","49","3.2653061224489797","2.183673469387755"
"8","color-agents-by-metabolism","50","6","48","3.2708333333333335","2.5208333333333335"
"7","color-agents-by-metabolism","50","0","50","3.6","2.48"
"2","color-agents-by-metabolism","50","1","50","3.38","2.3"
"8","color-agents-by-metabolism","50","7","46","3.3260869565217392","2.4565217391304346"
"6","color-agents-by-metabolism","50","1","50","3.6","2.44"
"3","color-agents-by-metabolism","50","7","48","3.2708333333333335","2.2083333333333335"
"1","color-agents-by-metabolism","50","7","44","3.5","2.590909090909091"
"1","color-agents-by-metabolism","50","8","44","3.5","2.590909090909091"
"3","color-agents-by-metabolism","50","8","48","3.2708333333333335","2.2083333333333335"
"2","color-agents-by-metabolism","50","2","50","3.38","2.3"
"6","color-agents-by-metabolism","50","2","49","3.6122448979591835","2.4081632653061225"
"1","color-agents-by-metabolism","50","9","42","3.5238095238095237","2.5714285714285716"
"3","color-agents-by-metabolism","50","9","47","3.3191489361702127","2.1702127659574466"
"2","color-agents-by-metabolism","50","3","50","3.38","2.3"
"1","color-agents-by-metabolism","50","10","41","3.4634146341463414","2.5609756097560976"
"3","color-agents-by-metabolism","50","10","46","3.260869565217391","2.1739130434782608"
"6","color-agents-by-metabolism","50","3","47","3.617021276595745","2.3617021276595747"
"1","color-agents-by-metabolism","50","11","39","3.4615384615384617","2.5128205128205128"
"8","color-agents-by-metabolism","50","8","43","3.302325581395349","2.395348837209302"
"3","color-agents-by-metabolism","50","11","46","3.260869565217391","2.1739130434782608"
"6","color-agents-by-metabolism","50","4","45","3.6444444444444444","2.2888888888888888"
"1","color-agents-by-metabolism","50","12","38","3.4473684210526314","2.473684210526316"
"8","color-agents-by-metabolism","50","9","41","3.317073170731707","2.317073170731707"
"3","color-agents-by-metabolism","50","12","45","3.2888888888888888","2.1333333333333333"
