"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 12:11:28:339 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"3","color-agents-by-metabolism","50","0","50","3.54","2.42"
"1","color-agents-by-metabolism","50","0","50","3.62","2.48"
"4","color-agents-by-metabolism","50","0","50","3.6","2.26"
"2","color-agents-by-metabolism","50","0","50","3.94","2.42"
"1","color-agents-by-metabolism","50","1","50","3.62","2.48"
"1","color-agents-by-metabolism","50","2","50","3.62","2.48"
"6","color-agents-by-metabolism","50","0","50","3.32","2.74"
"3","color-agents-by-metabolism","50","1","50","3.54","2.42"
"1","color-agents-by-metabolism","50","3","48","3.6666666666666665","2.4166666666666665"
"1","color-agents-by-metabolism","50","4","48","3.6666666666666665","2.4166666666666665"
"2","color-agents-by-metabolism","50","1","50","3.94","2.42"
"8","color-agents-by-metabolism","50","0","50","3.42","2.38"
"4","color-agents-by-metabolism","50","1","50","3.6","2.26"
"3","color-agents-by-metabolism","50","2","50","3.54","2.42"
"2","color-agents-by-metabolism","50","2","50","3.94","2.42"
"1","color-agents-by-metabolism","50","5","47","3.723404255319149","2.4468085106382977"
"4","color-agents-by-metabolism","50","2","50","3.6","2.26"
"3","color-agents-by-metabolism","50","3","49","3.5918367346938775","2.4285714285714284"
"1","color-agents-by-metabolism","50","6","45","3.7777777777777777","2.422222222222222"
"3","color-agents-by-metabolism","50","4","49","3.5918367346938775","2.4285714285714284"
"4","color-agents-by-metabolism","50","3","50","3.6","2.26"
"1","color-agents-by-metabolism","50","7","44","3.840909090909091","2.3863636363636362"
"3","color-agents-by-metabolism","50","5","48","3.5625","2.4166666666666665"
"8","color-agents-by-metabolism","50","1","50","3.42","2.38"
"3","color-agents-by-metabolism","50","6","48","3.5625","2.4166666666666665"
"4","color-agents-by-metabolism","50","4","49","3.5714285714285716","2.2244897959183674"
"1","color-agents-by-metabolism","50","8","40","3.8","2.25"
"8","color-agents-by-metabolism","50","2","50","3.42","2.38"
"3","color-agents-by-metabolism","50","7","46","3.6739130434782608","2.369565217391304"
"5","color-agents-by-metabolism","50","0","50","3.48","2.68"
"2","color-agents-by-metabolism","50","3","49","3.979591836734694","2.4081632653061225"
"1","color-agents-by-metabolism","50","9","40","3.8","2.25"
"4","color-agents-by-metabolism","50","5","49","3.5714285714285716","2.2244897959183674"
"7","color-agents-by-metabolism","50","0","50","4","2.56"
"1","color-agents-by-metabolism","50","10","39","3.7948717948717947","2.230769230769231"
"2","color-agents-by-metabolism","50","4","49","3.979591836734694","2.4081632653061225"
"8","color-agents-by-metabolism","50","3","47","3.4468085106382977","2.3404255319148937"
"3","color-agents-by-metabolism","50","8","45","3.7111111111111112","2.3333333333333335"
"4","color-agents-by-metabolism","50","6","49","3.5714285714285716","2.2244897959183674"
"8","color-agents-by-metabolism","50","4","46","3.4565217391304346","2.3260869565217392"
"1","color-agents-by-metabolism","50","11","37","3.891891891891892","2.1621621621621623"
"3","color-agents-by-metabolism","50","9","45","3.7111111111111112","2.3333333333333335"
"2","color-agents-by-metabolism","50","5","47","4.0212765957446805","2.3617021276595747"
"8","color-agents-by-metabolism","50","5","46","3.4565217391304346","2.3260869565217392"
"1","color-agents-by-metabolism","50","12","36","3.9722222222222223","2.111111111111111"
"3","color-agents-by-metabolism","50","10","44","3.727272727272727","2.3181818181818183"
"8","color-agents-by-metabolism","50","6","44","3.5454545454545454","2.272727272727273"
"6","color-agents-by-metabolism","50","1","50","3.32","2.74"
"2","color-agents-by-metabolism","50","6","46","4.065217391304348","2.3260869565217392"
"3","color-agents-by-metabolism","50","11","44","3.727272727272727","2.3181818181818183"
"8","color-agents-by-metabolism","50","7","44","3.5454545454545454","2.272727272727273"
"6","color-agents-by-metabolism","50","2","50","3.32","2.74"
"3","color-agents-by-metabolism","50","12","44","3.727272727272727","2.3181818181818183"
"8","color-agents-by-metabolism","50","8","44","3.5454545454545454","2.272727272727273"
"3","color-agents-by-metabolism","50","13","41","3.731707317073171","2.2439024390243905"
"6","color-agents-by-metabolism","50","3","48","3.4166666666666665","2.6875"
"5","color-agents-by-metabolism","50","1","50","3.48","2.68"
"3","color-agents-by-metabolism","50","14","40","3.75","2.2"
"1","color-agents-by-metabolism","50","13","36","3.9722222222222223","2.111111111111111"
"2","color-agents-by-metabolism","50","7","43","4.162790697674419","2.2325581395348837"
"6","color-agents-by-metabolism","50","4","48","3.4166666666666665","2.6875"
"3","color-agents-by-metabolism","50","15","40","3.75","2.2"
"5","color-agents-by-metabolism","50","2","50","3.48","2.68"
