"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 11:53:35:917 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"1","color-agents-by-metabolism","50","0","50","3.68","2.46"
"1","color-agents-by-metabolism","50","1","50","3.68","2.46"
"1","color-agents-by-metabolism","50","2","50","3.68","2.46"
"1","color-agents-by-metabolism","50","3","49","3.7142857142857144","2.4489795918367347"
"1","color-agents-by-metabolism","50","4","48","3.7291666666666665","2.4166666666666665"
"1","color-agents-by-metabolism","50","5","46","3.760869565217391","2.369565217391304"
"1","color-agents-by-metabolism","50","6","45","3.7555555555555555","2.3555555555555556"
"1","color-agents-by-metabolism","50","7","45","3.7555555555555555","2.3555555555555556"
"1","color-agents-by-metabolism","50","8","44","3.8181818181818183","2.3863636363636362"
"1","color-agents-by-metabolism","50","9","42","3.880952380952381","2.357142857142857"
"1","color-agents-by-metabolism","50","10","41","3.951219512195122","2.3658536585365852"
"1","color-agents-by-metabolism","50","11","40","3.975","2.35"
"1","color-agents-by-metabolism","50","12","39","3.948717948717949","2.3076923076923075"
"1","color-agents-by-metabolism","50","13","38","3.973684210526316","2.263157894736842"
"1","color-agents-by-metabolism","50","14","37","4.027027027027027","2.27027027027027"
"1","color-agents-by-metabolism","50","15","36","4.083333333333333","2.2777777777777777"
"1","color-agents-by-metabolism","50","16","36","4.083333333333333","2.2777777777777777"
"1","color-agents-by-metabolism","50","17","35","4.085714285714285","2.2857142857142856"
"1","color-agents-by-metabolism","50","18","35","4.085714285714285","2.2857142857142856"
"1","color-agents-by-metabolism","50","19","34","4.147058823529412","2.2941176470588234"
"1","color-agents-by-metabolism","50","20","34","4.147058823529412","2.2941176470588234"
"1","color-agents-by-metabolism","50","21","32","4.15625","2.21875"
"1","color-agents-by-metabolism","50","22","31","4.129032258064516","2.161290322580645"
"1","color-agents-by-metabolism","50","23","31","4.129032258064516","2.161290322580645"
"1","color-agents-by-metabolism","50","24","31","4.129032258064516","2.161290322580645"
"1","color-agents-by-metabolism","50","25","31","4.129032258064516","2.161290322580645"
