"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 11:59:29:718 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"2","color-agents-by-metabolism","100","0","100","3.72","2.57"
"9","color-agents-by-metabolism","100","0","100","3.62","2.47"
"5","color-agents-by-metabolism","100","0","100","3.6","2.32"
"4","color-agents-by-metabolism","100","0","100","3.45","2.51"
"5","color-agents-by-metabolism","100","1","100","3.6","2.32"
"2","color-agents-by-metabolism","100","1","100","3.72","2.57"
"10","color-agents-by-metabolism","100","0","100","3.47","2.5"
"7","color-agents-by-metabolism","100","0","100","3.75","2.67"
"5","color-agents-by-metabolism","100","2","99","3.6262626262626263","2.303030303030303"
"9","color-agents-by-metabolism","100","1","100","3.62","2.47"
"6","color-agents-by-metabolism","100","0","100","3.27","2.4"
"5","color-agents-by-metabolism","100","3","98","3.63265306122449","2.295918367346939"
"2","color-agents-by-metabolism","100","2","100","3.72","2.57"
"10","color-agents-by-metabolism","100","1","100","3.47","2.5"
"8","color-agents-by-metabolism","100","0","100","3.03","2.38"
"5","color-agents-by-metabolism","100","4","97","3.6597938144329896","2.2783505154639174"
"9","color-agents-by-metabolism","100","2","99","3.595959595959596","2.4545454545454546"
"2","color-agents-by-metabolism","100","3","99","3.7474747474747474","2.5555555555555554"
"5","color-agents-by-metabolism","100","5","96","3.65625","2.2708333333333335"
"4","color-agents-by-metabolism","100","1","100","3.45","2.51"
"10","color-agents-by-metabolism","100","2","99","3.494949494949495","2.484848484848485"
"9","color-agents-by-metabolism","100","3","99","3.595959595959596","2.4545454545454546"
"8","color-agents-by-metabolism","100","1","100","3.03","2.38"
"2","color-agents-by-metabolism","100","4","96","3.7604166666666665","2.5104166666666665"
"1","color-agents-by-metabolism","100","0","100","3.41","2.43"
"9","color-agents-by-metabolism","100","4","99","3.595959595959596","2.4545454545454546"
"10","color-agents-by-metabolism","100","3","96","3.5208333333333335","2.4583333333333335"
"5","color-agents-by-metabolism","100","6","92","3.7065217391304346","2.2065217391304346"
"8","color-agents-by-metabolism","100","2","99","3.04040404040404","2.3636363636363638"
"10","color-agents-by-metabolism","100","4","92","3.5434782608695654","2.402173913043478"
"4","color-agents-by-metabolism","100","2","98","3.5","2.479591836734694"
"9","color-agents-by-metabolism","100","5","93","3.6344086021505375","2.3978494623655915"
"3","color-agents-by-metabolism","100","0","100","3.22","2.41"
"8","color-agents-by-metabolism","100","3","98","3.061224489795918","2.357142857142857"
"2","color-agents-by-metabolism","100","5","92","3.75","2.467391304347826"
"9","color-agents-by-metabolism","100","6","90","3.6666666666666665","2.3555555555555556"
"10","color-agents-by-metabolism","100","5","89","3.5730337078651684","2.348314606741573"
"8","color-agents-by-metabolism","100","4","94","3.0425531914893615","2.2872340425531914"
"9","color-agents-by-metabolism","100","7","87","3.67816091954023","2.310344827586207"
"7","color-agents-by-metabolism","100","1","100","3.75","2.67"
"4","color-agents-by-metabolism","100","3","98","3.5","2.479591836734694"
"8","color-agents-by-metabolism","100","5","93","3.053763440860215","2.2903225806451615"
"10","color-agents-by-metabolism","100","6","85","3.611764705882353","2.3058823529411763"
"3","color-agents-by-metabolism","100","1","100","3.22","2.41"
"7","color-agents-by-metabolism","100","2","100","3.75","2.67"
"8","color-agents-by-metabolism","100","6","93","3.053763440860215","2.2903225806451615"
"6","color-agents-by-metabolism","100","1","100","3.27","2.4"
"4","color-agents-by-metabolism","100","4","97","3.5051546391752577","2.4742268041237114"
"5","color-agents-by-metabolism","100","7","91","3.7142857142857144","2.197802197802198"
"3","color-agents-by-metabolism","100","2","100","3.22","2.41"
"7","color-agents-by-metabolism","100","3","98","3.7448979591836733","2.642857142857143"
"4","color-agents-by-metabolism","100","5","93","3.5268817204301075","2.4408602150537635"
"2","color-agents-by-metabolism","100","6","87","3.7586206896551726","2.4022988505747125"
"5","color-agents-by-metabolism","100","8","87","3.7471264367816093","2.1264367816091956"
"6","color-agents-by-metabolism","100","2","99","3.272727272727273","2.3838383838383836"
"3","color-agents-by-metabolism","100","3","99","3.191919191919192","2.393939393939394"
"8","color-agents-by-metabolism","100","7","90","3.1","2.2555555555555555"
"7","color-agents-by-metabolism","100","4","96","3.7708333333333335","2.6145833333333335"
"5","color-agents-by-metabolism","100","9","85","3.6941176470588237","2.1058823529411765"
"3","color-agents-by-metabolism","100","4","96","3.2291666666666665","2.34375"
"4","color-agents-by-metabolism","100","6","91","3.5494505494505493","2.4065934065934065"
"6","color-agents-by-metabolism","100","3","99","3.272727272727273","2.3838383838383836"
"10","color-agents-by-metabolism","100","7","81","3.6419753086419755","2.259259259259259"
"3","color-agents-by-metabolism","100","5","95","3.231578947368421","2.3263157894736843"
"5","color-agents-by-metabolism","100","10","84","3.7261904761904763","2.0952380952380953"
"6","color-agents-by-metabolism","100","4","97","3.268041237113402","2.350515463917526"
