[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles
1,color-agents-by-metabolism,50,0,50,3.8,2.3
1,color-agents-by-metabolism,50,1,50,3.8,2.3
1,color-agents-by-metabolism,50,2,50,3.8,2.3
1,color-agents-by-metabolism,50,3,50,3.8,2.3
1,color-agents-by-metabolism,50,4,48,3.791666667,2.229166667
1,color-agents-by-metabolism,50,5,48,3.791666667,2.229166667
1,color-agents-by-metabolism,50,6,47,3.808510638,2.191489362
1,color-agents-by-metabolism,50,7,46,3.847826087,2.173913043
1,color-agents-by-metabolism,50,8,44,3.886363636,2.090909091
1,color-agents-by-metabolism,50,9,44,3.886363636,2.090909091
1,color-agents-by-metabolism,50,10,42,3.880952381,2.047619048
1,color-agents-by-metabolism,50,11,40,3.95,1.95
1,color-agents-by-metabolism,50,12,40,3.95,1.95
1,color-agents-by-metabolism,50,13,39,3.923076923,1.923076923
1,color-agents-by-metabolism,50,14,39,3.923076923,1.923076923
1,color-agents-by-metabolism,50,15,38,3.947368421,1.894736842
1,color-agents-by-metabolism,50,16,38,3.947368421,1.894736842
1,color-agents-by-metabolism,50,17,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,18,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,19,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,20,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,21,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,22,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,23,37,3.891891892,1.891891892
1,color-agents-by-metabolism,50,24,36,3.861111111,1.861111111
1,color-agents-by-metabolism,50,25,35,3.942857143,1.885714286
1,color-agents-by-metabolism,50,26,35,3.942857143,1.885714286
1,color-agents-by-metabolism,50,27,35,3.942857143,1.885714286
2,color-agents-by-metabolism,50,0,50,3.54,2.5
2,color-agents-by-metabolism,50,1,50,3.54,2.5
2,color-agents-by-metabolism,50,2,50,3.54,2.5
2,color-agents-by-metabolism,50,3,49,3.591836735,2.489795918
2,color-agents-by-metabolism,50,4,48,3.583333333,2.458333333
2,color-agents-by-metabolism,50,5,46,3.586956522,2.456521739
2,color-agents-by-metabolism,50,6,43,3.604651163,2.395348837
2,color-agents-by-metabolism,50,7,42,3.547619048,2.357142857
2,color-agents-by-metabolism,50,8,40,3.575,2.3
2,color-agents-by-metabolism,50,9,38,3.578947368,2.236842105
2,color-agents-by-metabolism,50,10,36,3.694444444,2.222222222
2,color-agents-by-metabolism,50,11,35,3.657142857,2.2
2,color-agents-by-metabolism,50,12,33,3.757575758,2.121212121
2,color-agents-by-metabolism,50,13,33,3.757575758,2.121212121
2,color-agents-by-metabolism,50,14,32,3.6875,2.0625
2,color-agents-by-metabolism,50,15,32,3.6875,2.0625
2,color-agents-by-metabolism,50,16,32,3.6875,2.0625
2,color-agents-by-metabolism,50,17,32,3.6875,2.0625
2,color-agents-by-metabolism,50,18,31,3.741935484,2.032258065
2,color-agents-by-metabolism,50,19,31,3.741935484,2.032258065
2,color-agents-by-metabolism,50,20,30,3.8,2.033333333
2,color-agents-by-metabolism,50,21,30,3.8,2.033333333
2,color-agents-by-metabolism,50,22,30,3.8,2.033333333
2,color-agents-by-metabolism,50,23,30,3.8,2.033333333
2,color-agents-by-metabolism,50,24,30,3.8,2.033333333
2,color-agents-by-metabolism,50,25,30,3.8,2.033333333
2,color-agents-by-metabolism,50,26,30,3.8,2.033333333
2,color-agents-by-metabolism,50,27,30,3.8,2.033333333
3,color-agents-by-metabolism,50,0,50,3.12,2.26
3,color-agents-by-metabolism,50,1,50,3.12,2.26
3,color-agents-by-metabolism,50,2,50,3.12,2.26
3,color-agents-by-metabolism,50,3,48,3.1875,2.1875
3,color-agents-by-metabolism,50,4,48,3.1875,2.1875
3,color-agents-by-metabolism,50,5,44,3.090909091,2.068181818
3,color-agents-by-metabolism,50,6,44,3.090909091,2.068181818
3,color-agents-by-metabolism,50,7,43,3.139534884,2.046511628
3,color-agents-by-metabolism,50,8,42,3.119047619,2
3,color-agents-by-metabolism,50,9,42,3.119047619,2
3,color-agents-by-metabolism,50,10,42,3.119047619,2
3,color-agents-by-metabolism,50,11,42,3.119047619,2
3,color-agents-by-metabolism,50,12,42,3.119047619,2
3,color-agents-by-metabolism,50,13,42,3.119047619,2
3,color-agents-by-metabolism,50,14,41,3.097560976,2.024390244
3,color-agents-by-metabolism,50,15,41,3.097560976,2.024390244
3,color-agents-by-metabolism,50,16,40,3.125,2
3,color-agents-by-metabolism,50,17,39,3.153846154,1.974358974
3,color-agents-by-metabolism,50,18,39,3.153846154,1.974358974
3,color-agents-by-metabolism,50,19,38,3.157894737,1.973684211
3,color-agents-by-metabolism,50,20,38,3.157894737,1.973684211
3,color-agents-by-metabolism,50,21,38,3.157894737,1.973684211
3,color-agents-by-metabolism,50,22,36,3.055555556,1.916666667
3,color-agents-by-metabolism,50,23,35,3.028571429,1.914285714
3,color-agents-by-metabolism,50,24,31,3.129032258,1.806451613
3,color-agents-by-metabolism,50,25,30,3.066666667,1.766666667
3,color-agents-by-metabolism,50,26,30,3.066666667,1.766666667
3,color-agents-by-metabolism,50,27,30,3.066666667,1.766666667
4,color-agents-by-metabolism,50,0,50,3.56,2.3
4,color-agents-by-metabolism,50,1,50,3.56,2.3
4,color-agents-by-metabolism,50,2,50,3.56,2.3
4,color-agents-by-metabolism,50,3,49,3.551020408,2.285714286
4,color-agents-by-metabolism,50,4,48,3.541666667,2.25
4,color-agents-by-metabolism,50,5,46,3.586956522,2.217391304
4,color-agents-by-metabolism,50,6,46,3.586956522,2.217391304
4,color-agents-by-metabolism,50,7,45,3.577777778,2.2
4,color-agents-by-metabolism,50,8,44,3.613636364,2.204545455
4,color-agents-by-metabolism,50,9,43,3.674418605,2.209302326
4,color-agents-by-metabolism,50,10,42,3.714285714,2.166666667
4,color-agents-by-metabolism,50,11,41,3.756097561,2.146341463
4,color-agents-by-metabolism,50,12,40,3.75,2.125
4,color-agents-by-metabolism,50,13,39,3.743589744,2.128205128
4,color-agents-by-metabolism,50,14,39,3.743589744,2.128205128
4,color-agents-by-metabolism,50,15,39,3.743589744,2.128205128
4,color-agents-by-metabolism,50,16,39,3.743589744,2.128205128
4,color-agents-by-metabolism,50,17,39,3.743589744,2.128205128
4,color-agents-by-metabolism,50,18,38,3.815789474,2.131578947
4,color-agents-by-metabolism,50,19,37,3.864864865,2.081081081
4,color-agents-by-metabolism,50,20,37,3.864864865,2.081081081
4,color-agents-by-metabolism,50,21,37,3.864864865,2.081081081
4,color-agents-by-metabolism,50,22,37,3.864864865,2.081081081
4,color-agents-by-metabolism,50,23,37,3.864864865,2.081081081
4,color-agents-by-metabolism,50,24,36,3.833333333,2.055555556
4,color-agents-by-metabolism,50,25,36,3.833333333,2.055555556
4,color-agents-by-metabolism,50,26,36,3.833333333,2.055555556
4,color-agents-by-metabolism,50,27,36,3.833333333,2.055555556
5,color-agents-by-metabolism,50,0,50,4.12,2.72
5,color-agents-by-metabolism,50,1,50,4.12,2.72
5,color-agents-by-metabolism,50,2,50,4.12,2.72
5,color-agents-by-metabolism,50,3,50,4.12,2.72
5,color-agents-by-metabolism,50,4,50,4.12,2.72
5,color-agents-by-metabolism,50,5,48,4.166666667,2.666666667
5,color-agents-by-metabolism,50,6,46,4.130434783,2.673913043
5,color-agents-by-metabolism,50,7,46,4.130434783,2.673913043
5,color-agents-by-metabolism,50,8,45,4.155555556,2.644444444
5,color-agents-by-metabolism,50,9,42,4.285714286,2.547619048
5,color-agents-by-metabolism,50,10,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,11,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,12,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,13,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,14,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,15,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,16,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,17,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,18,37,4.486486486,2.405405405
5,color-agents-by-metabolism,50,19,35,4.514285714,2.314285714
5,color-agents-by-metabolism,50,20,35,4.514285714,2.314285714
