[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
5,color-agents-by-metabolism,50,0,50,3.46,2.56,15.64,1.8488
1,color-agents-by-metabolism,50,0,50,3.28,2.58,14.76,1.8488
7,color-agents-by-metabolism,50,0,50,3.44,2.44,15.9,1.8488
5,color-agents-by-metabolism,50,1,50,3.46,2.56,15.5,1.8004
6,color-agents-by-metabolism,50,0,50,3.38,2.72,14.76,1.8488
7,color-agents-by-metabolism,50,1,50,3.44,2.44,16.04,1.7972
5,color-agents-by-metabolism,50,2,50,3.46,2.56,15.48,1.798
1,color-agents-by-metabolism,50,1,50,3.28,2.58,14.74,1.7976
5,color-agents-by-metabolism,50,3,50,3.46,2.56,15.46,1.798
7,color-agents-by-metabolism,50,2,50,3.44,2.44,16.3,1.7948
4,color-agents-by-metabolism,50,0,50,3.08,2.32,13.8,1.8488
1,color-agents-by-metabolism,50,2,49,3.3265306122449,2.55102040816327,15.0408163265306,1.7972
8,color-agents-by-metabolism,50,0,50,3.4,2.28,15.44,1.8488
3,color-agents-by-metabolism,50,0,50,3.52,2.28,15.06,1.8488
5,color-agents-by-metabolism,50,4,50,3.46,2.56,15.44,1.798
6,color-agents-by-metabolism,50,1,50,3.38,2.72,14.44,1.8008
2,color-agents-by-metabolism,50,0,50,2.9,2.34,14.82,1.8488
1,color-agents-by-metabolism,50,3,49,3.3265306122449,2.55102040816327,15.1020408163265,1.7976
5,color-agents-by-metabolism,50,5,49,3.48979591836735,2.55102040816327,15.7551020408163,1.798
6,color-agents-by-metabolism,50,2,50,3.38,2.72,14.24,1.7984
4,color-agents-by-metabolism,50,1,50,3.08,2.32,13.82,1.802
1,color-agents-by-metabolism,50,4,49,3.3265306122449,2.55102040816327,15.1632653061224,1.7976
7,color-agents-by-metabolism,50,3,50,3.44,2.44,16.56,1.7948
5,color-agents-by-metabolism,50,6,47,3.48936170212766,2.51063829787234,16.468085106383,1.7984
8,color-agents-by-metabolism,50,1,50,3.4,2.28,15.66,1.7988
1,color-agents-by-metabolism,50,5,46,3.34782608695652,2.5,16.2391304347826,1.7976
4,color-agents-by-metabolism,50,2,50,3.08,2.32,13.86,1.8016
5,color-agents-by-metabolism,50,7,47,3.48936170212766,2.51063829787234,16.5957446808511,1.7992
6,color-agents-by-metabolism,50,3,49,3.42857142857143,2.69387755102041,14.3877551020408,1.7976
8,color-agents-by-metabolism,50,2,50,3.4,2.28,15.98,1.7968
7,color-agents-by-metabolism,50,4,50,3.44,2.44,16.82,1.7948
1,color-agents-by-metabolism,50,6,46,3.34782608695652,2.5,16.4130434782609,1.7996
6,color-agents-by-metabolism,50,4,48,3.45833333333333,2.66666666666667,14.6041666666667,1.7976
4,color-agents-by-metabolism,50,3,48,3.08333333333333,2.25,14.5208333333333,1.8012
7,color-agents-by-metabolism,50,5,49,3.46938775510204,2.40816326530612,17.4285714285714,1.7948
1,color-agents-by-metabolism,50,7,45,3.35555555555556,2.46666666666667,16.9555555555556,1.7996
4,color-agents-by-metabolism,50,4,47,3.12765957446808,2.21276595744681,15.063829787234,1.8016
5,color-agents-by-metabolism,50,8,45,3.48888888888889,2.46666666666667,17.4666666666667,1.7992
7,color-agents-by-metabolism,50,6,49,3.46938775510204,2.40816326530612,17.7551020408163,1.7952
3,color-agents-by-metabolism,50,1,50,3.52,2.28,15.08,1.8028
