"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 17:30:32:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","mean [sugar] of turtles","mean [psugar] of patches"
"5","color-agents-by-metabolism","50","0","50","3.46","2.56","15.64","1.8488"
"1","color-agents-by-metabolism","50","0","50","3.28","2.58","14.76","1.8488"
"7","color-agents-by-metabolism","50","0","50","3.44","2.44","15.9","1.8488"
"5","color-agents-by-metabolism","50","1","50","3.46","2.56","15.5","1.8004"
"6","color-agents-by-metabolism","50","0","50","3.38","2.72","14.76","1.8488"
"7","color-agents-by-metabolism","50","1","50","3.44","2.44","16.04","1.7972"
"5","color-agents-by-metabolism","50","2","50","3.46","2.56","15.48","1.798"
"1","color-agents-by-metabolism","50","1","50","3.28","2.58","14.74","1.7976"
"5","color-agents-by-metabolism","50","3","50","3.46","2.56","15.46","1.798"
"7","color-agents-by-metabolism","50","2","50","3.44","2.44","16.3","1.7948"
"4","color-agents-by-metabolism","50","0","50","3.08","2.32","13.8","1.8488"
"1","color-agents-by-metabolism","50","2","49","3.326530612244898","2.5510204081632653","15.040816326530612","1.7972"
"8","color-agents-by-metabolism","50","0","50","3.4","2.28","15.44","1.8488"
"3","color-agents-by-metabolism","50","0","50","3.52","2.28","15.06","1.8488"
"5","color-agents-by-metabolism","50","4","50","3.46","2.56","15.44","1.798"
"6","color-agents-by-metabolism","50","1","50","3.38","2.72","14.44","1.8008"
"2","color-agents-by-metabolism","50","0","50","2.9","2.34","14.82","1.8488"
"1","color-agents-by-metabolism","50","3","49","3.326530612244898","2.5510204081632653","15.10204081632653","1.7976"
"5","color-agents-by-metabolism","50","5","49","3.489795918367347","2.5510204081632653","15.755102040816327","1.798"
"6","color-agents-by-metabolism","50","2","50","3.38","2.72","14.24","1.7984"
"4","color-agents-by-metabolism","50","1","50","3.08","2.32","13.82","1.802"
"1","color-agents-by-metabolism","50","4","49","3.326530612244898","2.5510204081632653","15.16326530612245","1.7976"
"7","color-agents-by-metabolism","50","3","50","3.44","2.44","16.56","1.7948"
"5","color-agents-by-metabolism","50","6","47","3.4893617021276597","2.5106382978723403","16.46808510638298","1.7984"
"8","color-agents-by-metabolism","50","1","50","3.4","2.28","15.66","1.7988"
"1","color-agents-by-metabolism","50","5","46","3.347826086956522","2.5","16.23913043478261","1.7976"
"4","color-agents-by-metabolism","50","2","50","3.08","2.32","13.86","1.8016"
"5","color-agents-by-metabolism","50","7","47","3.4893617021276597","2.5106382978723403","16.595744680851062","1.7992"
"6","color-agents-by-metabolism","50","3","49","3.4285714285714284","2.693877551020408","14.387755102040817","1.7976"
"8","color-agents-by-metabolism","50","2","50","3.4","2.28","15.98","1.7968"
"7","color-agents-by-metabolism","50","4","50","3.44","2.44","16.82","1.7948"
"1","color-agents-by-metabolism","50","6","46","3.347826086956522","2.5","16.41304347826087","1.7996"
"6","color-agents-by-metabolism","50","4","48","3.4583333333333335","2.6666666666666665","14.604166666666666","1.7976"
"4","color-agents-by-metabolism","50","3","48","3.0833333333333335","2.25","14.520833333333334","1.8012"
"7","color-agents-by-metabolism","50","5","49","3.4693877551020407","2.4081632653061225","17.428571428571427","1.7948"
"1","color-agents-by-metabolism","50","7","45","3.3555555555555556","2.466666666666667","16.955555555555556","1.7996"
